"id1","id2","id3","id4","entno","s5bii_10aii","s5bii_10bii","s5bii_10cii","s5bii_10dii","s5bii_11a","s5bii_11b","s5bii_11c","s5bii_11d","s5bii_12a","s5bii_12b","s5bii_12c","s5bii_12d","s5bii_13a","s5bii_13b","s5bii_13c","s5bii_13d","s5bii_14a","s5bii_14b","s5bii_14c","s5bii_14d","s5bii_15a","s5bii_15b","s5bii_15c","s5bii_15d","hhno"
2,2,35,44,1,,,,,,,,,,,,,,,,,,,,,,,,,102035044
2,3,36,2,1,1,,,,1,10,10,10,,,,,,,,,24,24,24,24,12,12,12,12,102036002
2,3,36,6,1,1,,,,1,10,10,10,,,,,,,,,16,16,16,16,12,12,12,12,102036006
2,3,36,6,2,2,,,,1,3,,,14,14,,,9,9,,,28,28,,,9,9,,,102036006
2,3,36,9,1,1,,,,1,,,,12,,,,6,,,,24,,,,6,,,,102036009
2,3,36,12,1,1,,,,1,,,,6,,,,6,,,,12,,,,6,,,,102036012
2,3,36,13,1,1,,,,1,,,,14,,,,8,,,,28,,,,8,,,,102036013
2,2,37,1,1,1,,,,1,,,,10,,,,10,,,,20,,,,3.33333325386047,,,,102037001
2,2,37,2,1,1,,,,1,,,,12,,,,5,,,,26,,,,5,,,,102037002
2,2,37,5,1,1,,,,1,,,,14,,,,12,,,,30,,,,4,,,,102037005
2,2,37,6,1,1,,,,1,,,,14,,,,13,,,,30,,,,4.33333349227905,,,,102037006
2,2,37,10,1,1,,,,1,,,,,,,,,,,,5,,,,3,,,,102037010
2,2,37,21,1,2,,,,1,,,,14,,,,11,,,,30,,,,3.66666674613953,,,,102037021
2,2,37,28,1,,,,,1,,,,6,,,,11,,,,6,,,,3.66666674613953,,,,102037028
2,2,37,29,1,1,,,,1,,,,6,,,,11,,,,26,,,,3.66666674613953,,,,102037029
2,2,37,31,1,,,,,1,,,,8,,,,7,,,,16,,,,7,,,,102037031
2,2,37,35,1,1,,,,1,,,,3,,,,,,,3,12,,,,3,,,,102037035
2,31,38,14,1,14,,,,1,,,,10,,,,7,,,,22,,,,7,,,,102038014
2,31,38,18,1,2,,,,1,,,,14,,,,5,,,,30,,,,5,,,,102038018
2,31,38,19,1,19,,,,1,,,,14,,,,3,,,,30,,,,8,,,,102038019
2,31,38,31,1,1,,,,1,,,,14,,,,6,,,,30,,,,6,,,,102038031
2,31,38,33,1,33,,,,1,,,,2,,,,3,,,,30,,,,8,,,,102038033
2,31,38,59,1,2,,,,1,,,,14,,,,6,,,,15,,,,6,,,,102038059
2,31,38,64,1,1,,,,1,,,,14,,,,13,,,,30,,,,13,,,,102038064
2,31,38,65,1,65,,,,1,,,,8,,,,7,,,,16,,,,7,,,,102038065
2,31,39,22,1,22,,,,1,,,,6,,,,4,,,,12,,,,4,,,,102039022
2,31,39,23,1,23,22,-8,,1,3,3,,14,14,14,,12,12,12,,28,28,28,,12,12,12,,102039023
2,31,39,49,1,1,,,,1,,,,0,,,,0,,,,5,,,,8,,,,102039049
2,31,39,49,2,2,,,,1,,,,1,,,,2,,,,2,,,,2,,,,102039049
2,31,39,50,1,50,,,,1,,,,14,,,,3,,,,28,,,,3,,,,102039050
2,31,39,50,2,50,-8,,,1,10,,,0,0,,,0,0,,,25,25,,,12,12,,,102039050
2,31,39,53,1,53,,,,1,,,,5,,,,6,,,,10,,,,6,,,,102039053
2,31,39,66,1,66,-8,-8,-8,1,7,10,10,0,0,0,0,0,0,0,0,21,21,21,21,8,8,8,8,102039066
2,31,40,2,1,2,,,,1,,,,8,,,,8,,,,16,,,,8,,,,102040002
2,31,40,14,1,14,,,,1,,,,2,,,,4,,,,8,,,,6,,,,102040014
2,31,40,24,1,1,1,1,,1,4,4,,14,8,8,,6,3,3,,30,16,16,,6,3,3,,102040024
2,31,40,33,1,1,,,,1,,,,8,,,,4,,,,24,,,,4,,,,102040033
2,31,40,38,1,1,,,,1,,,,,,,,,,,,8,,,,4,,,,102040038
2,31,40,39,1,1,,,,1,,,,8,,,,12,,,,16,,,,12,,,,102040039
