Date,AORD
2004-07-12,3533.5
2004-07-19,3495.699951
2004-07-26,3546.100098
2004-08-02,3538.899902
2004-08-09,3489.100098
2004-08-16,3507.800049
2004-08-23,3568.699951
2004-08-30,3584.399902
2004-09-06,3602.5
2004-09-13,3643.899902
2004-09-20,3635.600098
2004-09-27,3669
2004-10-04,3696
2004-10-11,3730.399902
2004-10-18,3720.699951
2004-10-25,3786.300049
2004-11-01,3854.5
2004-11-08,3872.600098
2004-11-15,3887.300049
2004-11-22,3922.899902
2004-11-29,3951.399902
2004-12-06,3911.399902
2004-12-13,3995.300049
2004-12-20,4049.300049
2004-12-27,4053.100098
2005-01-03,4062.800049
2005-01-10,4062.899902
2005-01-17,4046.399902
2005-01-24,4096.399902
2005-01-31,4156.200195
2005-02-07,4160.799805
2005-02-14,4151.799805
2005-02-21,4116.399902
2005-02-28,4201.899902
2005-03-07,4192.5
2005-03-14,4236.799805
2005-03-21,4131.600098
2005-03-28,4126.399902
2005-04-04,4148.5
2005-04-11,3993.399902
2005-04-18,4009.600098
2005-04-25,3943.100098
2005-05-02,3939.800049
2005-05-09,3965.5
2005-05-16,3990.800049
2005-05-23,4073.899902
2005-05-30,4149.299805
2005-06-06,4180
2005-06-13,4267.299805
2005-06-20,4203.799805
2005-06-27,4224.100098
2005-07-04,4193.799805
2005-07-11,4254.200195
2005-07-18,4324.200195
2005-07-25,4346.700195
2005-08-01,4333.100098
2005-08-08,4431.899902
2005-08-15,4429.899902
2005-08-22,4419.100098
2005-08-29,4435.899902
2005-09-05,4432.700195
2005-09-12,4499.399902
2005-09-19,4514
2005-09-26,4592.600098
2005-10-03,4400.100098
2005-10-10,4371.299805
2005-10-17,4325.200195
2005-10-24,4340.5
2005-10-31,4468.299805
2005-11-07,4516.799805
2005-11-14,4610.600098
2005-11-21,4592.5
